"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1747585,0.0100994444444,0.154106512346
0.1,0.1747585,0.0177693055556,0.272976126543
0.15,0.177331,0.0210945,0.647777731481
0.2,0.1761305,0.0467813888889,1.59182171296
0.25,0.176988,0.173881944444,2.58961294753
0.3,0.1905365,0.354719166667,2.58682342593
0.35,0.214718,0.489441944444,1.48125185185
0.4,0.245931,0.502590277778,0.319180555556
0.45,0.266854,0.46991,0.0584899691358
0.5,0.2889775,0.494110555556,0.153979475309
0.55,0.3171035,0.506020277778,0.00307006172839
0.6,0.3417995,0.486583611111,-0.0188967592593
0.65,0.364266,0.4896325,0.164777623457
0.7,0.3891335,0.516691388889,0.13979367284
0.75,0.417774,0.515643333333,-0.0587546296296
0.8,0.4422985,0.490871111111,0.0555257716049
0.85,0.464079,0.510688888889,0.311875925926
0.9,0.4920335,0.550038611111,0.0965481481481
0.95,0.522389,0.534127222222,-0.352368981481
1,0.5469135,0.490108888889,-0.38243441358
1.05,0.5692085,0.480771666667,-0.110045833333
1.1,0.594419,0.485726111111,0.0877614197531
1.15,0.617743,0.495444444444,0.167688888889
1.2,0.643811,0.507449444444,0.137729320988
1.25,0.669193,0.508021111111,0.115127314815
1.3,0.694232,0.514690555556,0.151227006173
1.35,0.7201285,0.528601111111,0.0986654320988
1.4,0.7479115,0.528315277778,0.00460509259259
1.45,0.773465,0.519835555556,0.100359259259
1.5,0.7993615,0.526981388889,0.372324382716
1.55,0.8247435,0.558327777778,0.5359375
1.6,0.853041,0.618162222222,0.00820447530864
1.65,0.8918,0.582814166667,-0.911331944444
1.7,0.914781,0.483439444444,-1.04085679012
1.75,0.93639,0.444851944444,-0.492903703704
1.8,0.9578275,0.439516388889,0.0414987654321
1.85,0.979265,0.462383055556,0.314416666667
1.9,1.003961,0.487536388889,0.241264506173
1.95,1.0295145,0.487441111111,0.120843981481
2,1.0524955,0.489441944444,0.166047993827
2.05,1.077706,0.503828888889,0.230572222222
2.1,1.103088,0.515548055556,0.25852037037
2.15,1.129156,0.529744444444,0.29710787037
2.2,1.156596,0.540701388889,0.363431790123
2.25,1.1821495,0.565759444444,0.333260493827
2.3,1.211133,0.612064444444,-0.345540740741
2.35,1.249892,0.544321944444,-1.16588240741
2.4,1.268414,0.429416944444,-0.805520679012
2.45,1.2857355,0.434561944444,0.118303240741
2.5,1.3100885,0.479533055556,0.431396604938
2.55,1.335642,0.501256388889,0.260531790123
2.6,1.361024,0.503161944444,0.0489092592593
2.65,1.386063,0.499350833333,-0.0292714506173
2.7,1.4112735,0.4913475,0.0791334876543
2.75,1.434083,0.504305277778,0.244863888889
2.8,1.4613515,0.524027777778,0.256614814815
2.85,1.486905,0.536509166667,0.135559104938
2.9,1.5155455,0.538319444444,-0.0190555555555
2.95,1.541099,0.530506666667,-0.101417901235
3,1.568196,0.528124722222,-0.155038117284
3.05,1.5947785,0.511736944444,-0.125343209877
3.1,1.6187885,0.507544722222,0.0535143518518
3.15,1.644685,0.518692222222,0.217233333333
3.2,1.6705815,0.533365,0.333048765432
3.25,1.6983645,0.548514166667,0.48364058642
3.3,1.724947,0.576430555556,0.587863888889
3.35,1.7532445,0.636169722222,0.0910961419753
3.4,1.791146,0.638075277778,-1.24808595679
3.45,1.8266465,0.473816388889,-1.83991975309
3.5,1.83505,0.366628888889,-0.813301697531
3.55,1.855973,0.392544444444,0.358985493827
3.6,1.874495,0.438468333333,0.900692592593
3.65,1.899191,0.502495,0.911490740741
3.7,1.9250875,0.551658333333,0.410911882716
3.75,1.956815,0.550419722222,-0.224061574074
3.8,1.9816825,0.514976388889,-0.557216203704
3.85,2.0087795,0.471339166667,-0.412341049383
3.9,2.02713,0.4587625,0.0382169753087
3.95,2.0523405,0.489918333333,0.264289969136
4,2.077894,0.496873611111,0.274294135802
4.05,2.101904,0.506306111111,0.447382098765
4.1,2.127286,0.5427975,0.537472530864
4.15,2.1566125,0.565473611111,0.449446450617
4.2,2.181137,0.624069444444,-0.244122839506
4.25,2.2272705,0.543273888889,-0.953201234568
4.3,2.234988,0.463526388889,-0.53292037037
4.35,2.266201,0.504495833333,-0.229937037037
4.4,2.2917545,0.454856111111,-0.106393518519
4.45,2.308733,0.462859444444,0.438648302469
4.5,2.3339435,0.529458611111,0.451616666667
4.55,2.366357,0.528696388889,0.206964506173
4.6,2.387966,0.509069166667,0.746395524691
4.65,2.411976,0.562234166667,2.51538626543
4.7,2.4474765,0.712773055556,4.53035246914
4.75,2.4738875,0.954588055556,5.93088287037
4.8,2.487779,1.94614388889,-3.4730337963
4.85,2.792706,0.840921666667,-15.895932716
4.9,2.601312,-0.751741666667,-9.30127074074
4.95,2.584162,-0.272685,0.774767129629
5,2.608515,0.0628833333333,5.20661296296
